lang-id	latitude	longitude
mcn 	 10.06060 	 15.47484
mcm 	 -2.00000 	 129.00000
mcl 	 0.49999 	 -75.83332
mck 	 -14.60299 	 21.97677
mcj 	 6.75724 	 11.18433
mci 	 -6.56072 	 147.13705
mch 	 4.70704 	 -64.38773
mcg 	 5.96952 	 -67.25811
mcf 	 -5.73914 	 -72.62811
mce 	 16.77876 	 -97.59753
mcd 	 -9.86260 	 -71.12316
mcc 	 -8.51839 	 142.70984
mcb 	 -12.12905 	 -72.50171
mca 	 -25.01186 	 -57.36935
prh 	 10.67263 	 124.45395
akx 	 12.84943 	 92.82266
mcz 	 -5.22190 	 145.58867
mcy 	 -7.03751 	 146.40948
mcx 	 3.45776 	 15.52460
mcw 	 11.74608 	 18.29990
mcv 	 -7.61717 	 144.01087
mcu 	 6.43829 	 11.41953
mct 	 4.59320 	 11.39465
mcs 	 9.61210 	 14.00129
mcr 	 -7.17425 	 146.07051
mcq 	 -9.09451 	 148.37594
mcp 	 4.15471 	 13.07888
ant 	 -27.11522 	 134.83783
rgk 	 29.22776 	 80.08455
slx 	 -5.44937 	 23.15022
sly 	 -6.10145 	 120.49606
slz 	 -1.22329 	 130.90913
prt 	 19.03826 	 101.21782
slt 	 21.68884 	 102.13368
slu 	 -8.18376 	 130.96124
slv 	 46.25426 	 14.77659
slw 	 -6.07688 	 147.57361
slp 	 -8.36439 	 122.80341
slq 	 37.03921 	 47.34872
slr 	 35.54568 	 102.81943
sll 	 -6.26519 	 145.02097
slm 	 6.27167 	 120.53586
sln 	 37.66462 	 -121.71773
slh 	 47.26303 	 -122.14073
sli 	 50.69633 	 15.96667
NOCODE_Cypriot-Greek 	  	 
slk 	 48.54570 	 18.78479
sld 	 11.09160 	 -2.38217
sle 	 11.94583 	 77.22107
slg 	 4.34788 	 116.45038
sjp 	 25.68600 	 85.79200
slc 	 5.30115 	 -69.38426
glc 	 10.65773 	 19.57745
anr 	 19.47335 	 77.71561
tzx 	 -4.49162 	 143.59259
ans 	 6.24999 	 -76.04999
drt 	 52.90240 	 6.51539
drw 	 38.31608 	 70.76427
tzi 	 31.59054 	 102.66066
tzh 	 16.63841 	 -92.27861
tzj 	 14.63507 	 -91.20122
tzm 	 32.74155 	 -2.40872
tzo 	 16.63623 	 -92.73881
tzn 	 -7.72555 	 126.70010
dho 	 21.06564 	 73.27433
dhn 	 20.77195 	 73.74179
dhm 	 -17.29584 	 13.44244
dhl 	 -22.19598 	 114.93718
dhi 	 26.62827 	 88.37982
sjk 	 67.09300 	 27.53700
dhg 	 -11.94927 	 135.75214
anx 	 -2.05894 	 147.08493
dhd 	 26.47300 	 76.19800
any 	 6.31781 	 -3.30532
akh 	 -6.13347 	 143.47808
dhw 	 27.54803 	 85.00740
dhv 	 -20.88918 	 167.22924
dhu 	 -35.41204 	 150.13383
dhs 	 -4.81209 	 38.81801
dhr 	 -24.06008 	 114.84667
sjo 	 43.58535 	 81.00336
kiz 	 -9.93000 	 34.48254
kiy 	 -3.18494 	 137.28200
kix 	 26.20717 	 95.16175
sjl 	 27.65952 	 96.66328
kis 	 -3.83909 	 143.95983
kir 	 42.00000 	 74.00000
kiq 	 -3.78748 	 140.19727
sjm 	 6.09061 	 118.74997
kiw 	 -7.39215 	 144.66697
kiv 	 -7.23023 	 33.64451
jkr 	 26.60000 	 92.80000
kit 	 -9.08521 	 142.53159
kik 	 -0.29005 	 36.71901
kij 	 -8.72574 	 151.07240
kii 	 31.83000 	 -96.50000
kih 	 -2.88607 	 141.19097
kio 	 34.94026 	 -98.90424
kin 	 -1.56771 	 29.64413
kim 	 53.71450 	 98.37923
kil 	 11.01194 	 9.63992
kic 	 41.65515 	 -89.03034
kib 	 11.69648 	 30.47166
kia 	 9.79442 	 15.89359
NOCODE_Mongoba-Kazibati 	 2.80983 	 29.56369
kig 	 -8.01899 	 138.35508
kif 	 28.52593 	 82.95235
kie 	 11.32054 	 20.87674
kid 	 6.58170 	 10.29904
drb 	 12.47398 	 30.67816
sjg 	 13.95921 	 22.63932
sjd 	 68.21579 	 35.83479
tdx 	 -24.80155 	 45.15152
akd 	 5.58316 	 8.10047
yei 	 6.48954 	 11.53922
yej 	 31.80104 	 35.10838
yel 	 -2.46204 	 22.58912
yea 	 12.32309 	 75.62646
yee 	 -4.71731 	 143.57210
yey 	 -18.91781 	 23.60882
yes 	 9.05454 	 7.97913
yer 	 8.98356 	 10.02885
yeu 	 17.37023 	 81.97482
yet 	 -4.05884 	 140.65319
yev 	 -3.47256 	 142.43607
hah 	 -5.59031 	 154.80129
bnz 	 6.81552 	 10.10905
bny 	 3.86700 	 113.63420
bnx 	 -4.31464 	 27.24376
hal 	 14.78621 	 107.45652
ham 	 -5.03635 	 142.55148
han 	 -2.52347 	 30.70739
hao 	 -5.06832 	 154.59388
bns 	 24.89823 	 78.95417
bnr 	 -15.33532 	 167.03365
bnq 	 1.44586 	 124.84556
bnp 	 -5.55792 	 150.09488
bnw 	 -4.46238 	 143.05810
bnv 	 -2.09529 	 139.20752
bnu 	 -4.76004 	 119.80592
hag 	 9.33929 	 -1.57833
bnk 	 -16.66632 	 168.15444
bnj 	 12.89681 	 121.17652
bni 	 -0.87437 	 17.22697
bno 	 12.51942 	 122.03419
bnn 	 23.41164 	 121.02534
bnm 	 2.08708 	 9.75108
bnl 	 0.41988 	 43.12076
hap 	 -4.36349 	 139.16433
haq 	 -3.77873 	 30.48943
bna 	 -7.37657 	 121.79239
has 	 53.96401 	 -128.60159
bng 	 0.88970 	 9.40336
hau 	 11.15127 	 8.78040
bne 	 0.75069 	 123.48582
bnd 	 -5.42138 	 133.14183
opt 	 31.15211 	 -110.06212
brt 	 6.87399 	 11.30724
opy 	 -22.27800 	 -53.72270
wci 	 6.45571 	 1.69303
opa 	 7.33708 	 5.97843
opm 	 -5.20797 	 142.17666
opo 	 -7.85988 	 145.75121
NOCODE_Jirajaran 	 7.26667 	 -68.40000
opk 	 -4.91191 	 139.92557
brn 	 8.88093 	 -83.21240
NOCODE_Mpalityan-Lutigh 	 -12.16734 	 142.48533
ola 	 27.69502 	 87.23742
www 	 6.68974 	 11.78018
old 	 -3.33743 	 37.33568
ole 	 27.20788 	 90.55462
